"gauge_id","9116001","catchment identifier (corresponds to the stream gauge code provided by DGA)"
"gauge_name","Rio Cholchol En Cholchol","gauge name (based on DGA records)"
"gauge_lat","-38.6081","gauge latitude based on DGA records (degrees)"
"gauge_lon","-72.8478","gauge longitude based on DGA records (degrees)"
"record_period_start","1929-03-01","start date of streamflow records"
"record_period_end","2020-04-07","end date of streamflow records"
"n_obs","23337","number of days with valid streamflow records"
"outlet_camels_lat","-38.60822","CAMELS-CL outlet latitude (degrees). DGA stream gauge coordinates were corrected to get catchment outlets on the streams defined by topography."
"outlet_camels_lon","-72.84792","CAMELS-CL outlet longitude (degrees). DGA stream gauge coordinates were corrected to get catchment outlets on the streams defined by topography."
"outlet_camels_elev","19","CAMELS-CL outlet elevation (m a.s.l.) obtained from the 30 m ASTER GDEM elevation data"
"area_km2","5047.636","catchment area (km2)"
"mean_elev","342.0637","catchment mean elevation (m a.s.l.)"
"med_elev","293","catchment median elevation (m a.s.l.)"
"max_elev","1693","catchment maximum elevation (m a.s.l.)"
"min_elev","4","catchment minimum elevation (m a.s.l.)"
"mean_slope_perc","10.6861","catchment mean slope (%)"
"geol_class_1st","Metamorphics","most common geologic class in the catchment"
"geol_class_1st_frac","0.611","fraction of the catchment area associated with its most common geologic class"
"geol_class_2nd","Acid plutonic rocks","second most common geologic class in the catchment"
"geol_class_2nd_frac","0.177","fraction of the catchment area associated with its second most common geologic class"
"lc_crop","17.18347","percentage of the catchment covered by croplands; level 1. Includes five types of level 2 classes: rice fields; greenhouse farming; other croplands; orchards; and bare croplands"
"lc_nf","18.00987","percentage of the catchment covered by forest (level 1) classified as natural broadleaf (level 2) or natural conifer (level 2)."
"lc_fp","25.97588","percentage of the catchment covered by forest (level 1) classified as broadleaf plantations (level 2) or conifer plantations (level 2)."
"lc_grass","27.68193","percentage of the catchment covered by grasslands; level 1. Includes three types of level 2 classes: pastures; other grasslands; and withered grasslands."
"lc_shrub","10.92416","percentage of the catchment covered by shrublands; level 1. Includes five types of level 2 classes: shrublands; shrubs and sparse trees mosaic; succulents; shrub plantations; and withered shrublands."
"lc_wet","0.04471672","percentage of the catchment covered by wetlands and water bodies (level 1). Includes six types of level 2 classes: marshlands; mudflats; other wetlands; lakes; reservoirs/ponds; rivers and ocean."
"lc_imp","0.1668155","percentage of the catchment covered by impervious surfaces (level 1). Urbanised areas are usually contained in this class."
"lc_barren","0.0128881","percentage of the catchment covered by barren lands (level 1). Includes three types of level 2 classes: dry salt flats;  sandy areas and bare exposed rocks"
"lc_snow","0","percentage of the catchment covered by snow and ice; level 1. Includes two types of level 2 classes: snow and ice."
"lc_glacier","0","percentage of the catchment covered by glaciers."
"lc_fp_index","0.5905521","forest plantation index: calculated as the ratio between fp_frac and the total forested area (fp_frac+nf_frac)."
"lc_forest","43.98575","fraction of the catchment covered by forests; including native forest and forest plantation (fp_frac+nf_frac)."
"lc_dom_name","lc_grass","dominant land cover class"
"lc_frac_dom","27.68193","fraction of the basin associated with dominant land cover class"
"lc_nodata","0.0002670187","percentage of the basin not covered by the land cover map"
"pet_mean_1990_2010","3.04218","mean daily PET (calculated with Hargreaves formula)"
"pet_mean_1979_2010","3.051166","mean daily PET (calculated with Hargreaves formula)"
"p_mean_cr2met_1990_2010","3.626154","mean daily precipitation calculated from CR2MET period 1990-2010"
"p_mean_cr2met_1979_2010","3.672101","mean daily precipitation calculated from CR2MET period 1979-2010"
"p_mean_chirps_1990_2010","3.919824","mean daily precipitation calculated from CHIRPS period 1990-2010"
"p_mean_chirps_1979_2010","3.807014","mean daily precipitation calculated from CHIRPS period 1979-2010"
"p_mean_mswep_1990_2010","3.620749","mean daily precipitation calculated from MSWEP period 1990-2010"
"p_mean_mswep_1979_2010","3.60305","mean daily precipitation calculated from MSWEP period 1979-2010"
"p_mean_tmpa_1990_2010",NA,"mean daily precipitation calculated from TMPA period 1990-2010"
"p_mean_tmpa_1979_2010",NA,"mean daily precipitation calculated from TMPA period 1979-2010"
"aridity_cr2met_1990_2010","0.838955","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_cr2met) period 1990-2010"
"aridity_cr2met_1979_2010","0.8309048","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_cr2met) period 1979-2010"
"aridity_chirps_1990_2010","0.7761011","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_chirps) period 1990-2010"
"aridity_chirps_1979_2010","0.8051771","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_chirps) period 1979-2010"
"aridity_mswep_1990_2010","0.8402072","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_mswep) period 1990-2010"
"aridity_mswep_1979_2010","0.8468286","aridity; calculated as the ratio of mean daily PET (pet_mean) to mean daily precipitation (p_mean_mswep) period 1979-2010"
