"date","year","9116001"
1891-01-01,1891,0
1892-01-01,1892,0
1893-01-01,1893,0
1894-01-01,1894,0
1895-01-01,1895,0
1896-01-01,1896,0
1897-01-01,1897,0
1898-01-01,1898,0
1899-01-01,1899,0
1900-01-01,1900,0
1901-01-01,1901,0
1902-01-01,1902,0
1903-01-01,1903,0
1904-01-01,1904,0
1905-01-01,1905,0
1906-01-01,1906,0
1907-01-01,1907,0
1908-01-01,1908,0
1909-01-01,1909,0
1910-01-01,1910,0
1911-01-01,1911,0
1912-01-01,1912,0
1913-01-01,1913,0
1914-01-01,1914,0
1915-01-01,1915,0
1916-01-01,1916,0
1917-01-01,1917,0
1918-01-01,1918,0
1919-01-01,1919,0
1920-01-01,1920,0
1921-01-01,1921,0
1922-01-01,1922,0
1923-01-01,1923,0
1924-01-01,1924,0
1925-01-01,1925,0
1926-01-01,1926,0
1927-01-01,1927,0
1928-01-01,1928,0
1929-01-01,1929,0
1930-01-01,1930,0
1931-01-01,1931,0
1932-01-01,1932,0
1933-01-01,1933,0
1934-01-01,1934,0
1935-01-01,1935,0
1936-01-01,1936,0
1937-01-01,1937,0
1938-01-01,1938,0
1939-01-01,1939,0
1940-01-01,1940,0
1941-01-01,1941,0
1942-01-01,1942,10
1943-01-01,1943,10
1944-01-01,1944,24
1945-01-01,1945,24
1946-01-01,1946,84
1947-01-01,1947,84
1948-01-01,1948,84
1949-01-01,1949,84
1950-01-01,1950,84
1951-01-01,1951,84
1952-01-01,1952,84
1953-01-01,1953,84
1954-01-01,1954,1632.486798
1955-01-01,1955,1632.486798
1956-01-01,1956,1632.486798
1957-01-01,1957,1632.486798
1958-01-01,1958,1702.486798
1959-01-01,1959,1702.486798
1960-01-01,1960,1702.486798
1961-01-01,1961,1702.486798
1962-01-01,1962,1732.486798
1963-01-01,1963,3032.486798
1964-01-01,1964,3032.486798
1965-01-01,1965,3032.486798
1966-01-01,1966,3032.486798
1967-01-01,1967,3032.486798
1968-01-01,1968,3632.486798
1969-01-01,1969,3632.486798
1970-01-01,1970,3632.486798
1971-01-01,1971,3632.486798
1972-01-01,1972,3632.486798
1973-01-01,1973,3632.486798
1974-01-01,1974,3632.486798
1975-01-01,1975,3632.486798
1976-01-01,1976,3632.486798
1977-01-01,1977,3632.486798
1978-01-01,1978,3632.486798
1979-01-01,1979,3632.486798
1980-01-01,1980,3632.486798
1981-01-01,1981,3712.486798
1982-01-01,1982,3712.486798
1983-01-01,1983,3744.386798
1984-01-01,1984,4154.386798
1985-01-01,1985,4754.936798
1986-01-01,1986,4954.93681108
1987-01-01,1987,5498.93681108
1988-01-01,1988,5505.93681108
1989-01-01,1989,6058.43681108
1990-01-01,1990,6398.43681108
1991-01-01,1991,6686.85347775
1992-01-01,1992,8953.85347775
1993-01-01,1993,10881.196450856
1994-01-01,1994,11292.863117526
1995-01-01,1995,12867.696450866
1996-01-01,1996,15667.763117866
1997-01-01,1997,19348.579784866
1998-01-01,1998,19699.816784866
1999-01-01,1999,19869.03345153
2000-01-01,2000,19870.090118197
2001-01-01,2001,19883.215784863
2002-01-01,2002,23040.634118197
2003-01-01,2003,23289.127451527
2004-01-01,2004,23432.13578486
2005-01-01,2005,23457.71911819
2006-01-01,2006,23629.027451523
2007-01-01,2007,23752.69411819
2008-01-01,2008,24300.977451523
2009-01-01,2009,24442.027451523
2010-01-01,2010,24543.985784847
2011-01-01,2011,24646.785784847
2012-01-01,2012,24676.785784847
2013-01-01,2013,24681.385784847
2014-01-01,2014,24685.685784847
2015-01-01,2015,24836.376284843
2016-01-01,2016,24980.252134077
2017-01-01,2017,24987.468800744
2018-01-01,2018,25027.277134074
2019-01-01,2019,25078.527134074
2020-01-01,2020,25089.627134074
2021-01-01,2021,25089.627134074
