Fecha;precipitacion;caudal_m3s;escorrentia_mm;etp;tmax;tmin;temperatura_media
1979-01-01;0.0;40.9;0.700082180997257;5.418;22.695269;6.651321;14.673295
1979-01-02;0.0;39.4;0.67440679538611;5.953;24.715284;6.2293735;15.47232875
1979-01-03;0.0;38.7;0.662424948767575;6.01;25.285426;7.2788665;16.28214625
1979-01-04;0.0;37.9;0.648731409774964;6.346;26.624722;7.2630271;16.94387455
1979-01-05;0.0;37.0;0.633326178408276;6.353;26.709437;7.3364337;17.02293535
1979-01-06;0.0;35.4;0.605939100423053;6.453;27.389271;8.1985416;17.7939063
1979-01-07;0.0;35.6;0.609362485171206;5.994;26.385208;10.283195;18.3342015
1979-01-08;0.0;34.0;0.581975407185984;6.144;26.373649;8.5660714;17.4698602
1979-01-09;0.0;32.7;0.55972340632299;5.659;24.085024;7.2275878;15.6563059
1979-01-10;0.0;31.9;0.546029867330379;5.874;25.033246;7.3840644;16.2086552
1979-01-11;11.538903;31.5;0.539183097834073;5.761;25.213235;9.107624;17.1604295
1979-01-12;4.2449715;32.7;0.55972340632299;4.638;20.367678;7.7223852;14.045031600000002
1979-01-13;0.0;43.1;0.737739413226938;5.057;21.478903;6.1814632;13.8301831
1979-01-14;0.0;41.4;0.708640642867639;5.416;23.514184;7.7134574;15.6138207
1979-01-15;0.0;38.8;0.664136641141652;5.761;25.033006;8.0458136;16.5394098
1979-01-16;0.0;36.9;0.6316144860342;5.717;24.978054;8.2337579;16.60590595
1979-01-17;0.0;35.4;0.605939100423053;5.748;25.385802;8.9024715;17.14413675
1979-01-18;0.0;33.6;0.575128637689678;6.464;28.197355;8.7304278;18.4638914
1979-01-19;0.0;31.6;0.540894790208149;6.512;28.491286;8.8390513;18.66516865
1979-01-20;0.0;31.8;0.544318174956302;6.227;27.350149;8.5661404;17.9581447
1979-01-21;0.0;30.1;0.515219404597003;6.187;27.392904;8.9811445;18.18702425
1979-01-22;0.0;29.3;0.501525865604392;5.806;25.629548;8.0027517;16.81614985
1979-01-23;0.0;29.1;0.498102480856239;5.405;23.594226;6.5288673;15.06154665
1979-01-24;0.0;28.5;0.48783232661178;5.314;23.22635;6.3661098;14.7962299
1979-01-25;0.71029359;28.0;0.479273864741398;6.017;26.292839;6.5615815;16.42721025
1979-01-26;1.3600435;26.6;0.455310171504328;5.066;23.189332;8.6888373;15.93908465
1979-01-27;0.0;26.1;0.446751709633946;5.311;23.394924;6.2154158;14.8051699
1979-01-28;0.0;26.1;0.446751709633946;5.547;24.607619;6.6289522;15.6182856
1979-01-29;0.0;26.1;0.446751709633946;5.859;26.307412;7.6474171;16.97741455
1979-01-30;0.0;25.4;0.434769863015411;5.984;27.290108;8.8948245;18.09246625
1979-01-31;0.0;25.5;0.436481555389488;6.195;28.243838;8.8929917;18.56841485
1979-02-01;0.0;26.1;0.446751709633946;6.178;28.413876;9.3420689;18.877972449999998
1979-02-02;0.0;25.0;0.427923093519106;5.729;26.946875;10.069525;18.5082
1979-02-03;5.8288783;24.2;0.414229554526494;5.458;25.762358;9.5933416;17.6778498
1979-02-04;1.6545086;24.3;0.415941246900571;4.621;23.353383;11.501796;17.4275895
1979-02-05;0.0;24.2;0.414229554526494;4.939;23.428475;8.5895374;16.009006199999998
1979-02-06;0.0;24.4;0.417652939274647;4.884;22.528204;6.4807989;14.50450145
1979-02-07;0.0;24.0;0.410806169778341;6.442;29.3575;5.9939944;17.6757472
1979-02-08;0.0015885459;24.0;0.410806169778341;6.003;28.615651;9.7584705;19.18706075
1979-02-09;0.0;23.7;0.405671092656112;5.049;25.463079;11.475148;18.4691135
1979-02-10;0.0;23.1;0.395400938411654;5.434;26.126597;8.8301972;17.478397100000002
1979-02-11;0.0;22.6;0.386842476541271;5.266;25.239575;7.9853401;16.61245755
1979-02-12;0.0;22.8;0.390265861289424;5.381;25.500808;6.767007;16.1339075
1979-02-13;3.2684404;23.2;0.39711263078573;4.828;23.506024;7.8320678;15.6690459
1979-02-14;2.6698732;22.9;0.391977553663501;4.589;23.7045;10.608602;17.156551
1979-02-15;0.0;24.5;0.419364631648723;5.287;26.025769;8.6124586;17.3191138
1979-02-16;0.0;25.4;0.434769863015411;4.867;23.633925;6.663452;15.1486885
1979-02-17;0.0;25.9;0.443328324885793;4.525;23.018937;8.8787182;15.948827600000001
1979-02-18;0.0;25.2;0.431346478267258;4.936;24.020894;6.0310258;15.0259599
1979-02-19;0.0;23.8;0.407382785030188;5.055;25.067861;7.1740198;16.120940400000002
1979-02-20;0.0;23.1;0.395400938411654;5.583;27.709695;7.3840054;17.5468502
1979-02-21;0.0;22.6;0.386842476541271;5.597;28.076074;7.8887979;17.98243595
1979-02-22;0.0;22.0;0.376572322296813;4.744;25.387088;10.75839;18.072739
1979-02-23;0.0;21.9;0.374860629922736;4.564;23.634322;8.0751012;15.854711600000002
1979-02-24;0.0;21.9;0.374860629922736;4.619;23.219997;5.5981126;14.4090548
1979-02-25;0.0;21.9;0.374860629922736;4.55;23.717184;7.7065752;15.7118796
1979-02-26;0.0;21.9;0.374860629922736;4.792;24.47755;5.906007;15.1917785
1979-02-27;0.0;21.7;0.371437245174584;4.268;22.283421;6.7205438;14.5019824
1979-02-28;0.0;21.8;0.37314893754866;5.001;25.522887;4.4711549;14.99702095
1979-03-01;0.0;22.2;0.379995707044966;5.643;29.570008;7.2563354;18.4131717
1979-03-02;1.752707;21.5;0.368013860426431;4.08;22.355711;8.18256;15.2691355
1979-03-03;5.2218781;21.2;0.362878783304201;3.898;22.511609;10.223529;16.367569
1979-03-04;0.5456165;21.2;0.362878783304201;3.734;20.873874;7.9692703;14.42157215
1979-03-05;8.8146484;21.8;0.37314893754866;3.875;21.583431;7.7055547;14.64449285
1979-03-06;0.0;21.9;0.374860629922736;3.482;18.935722;5.796695;12.366208499999999
1979-03-07;0.0;23.3;0.398824323159806;3.652;19.268995;3.6572926;11.463143800000001
1979-03-08;0.0;24.4;0.417652939274647;3.853;20.758914;4.3055291;12.532221550000001
1979-03-09;0.0;24.1;0.412517862152418;3.991;21.68506;4.3101852;12.9976226
1979-03-10;0.0;23.5;0.402247707907959;4.344;24.387518;6.334538;15.361028000000001
1979-03-11;0.0;22.6;0.386842476541271;4.667;26.889661;8.3264744;17.6080677
1979-03-12;0.0;21.7;0.371437245174584;4.659;27.176555;8.7311789;17.95386695
1979-03-13;0.0;20.3;0.347473551937514;3.895;23.931512;10.116154;17.023833
1979-03-14;0.0;20.4;0.34918524431159;3.729;22.402001;8.0861838;15.2440924
1979-03-15;0.0;20.2;0.345761859563437;3.936;22.658478;4.885218;13.771847999999999
1979-03-16;0.0;20.2;0.345761859563437;3.991;23.187364;4.9433081;14.065336049999999
1979-03-17;0.0;19.8;0.338915090067132;4.253;24.910109;4.8356041;14.87285655
1979-03-18;0.0;19.8;0.338915090067132;3.957;23.696395;5.9777015;14.837048249999999
1979-03-19;0.0;20.4;0.34918524431159;4.092;24.688512;5.9916365;15.34007425
1979-03-20;0.0;20.3;0.347473551937514;4.579;28.328956;8.1537943;18.24137515
1979-03-21;0.19934208;19.4;0.332068320570826;3.338;22.127942;9.5676876;15.8478148
1979-03-22;0.0014572534;18.7;0.320086473952291;3.505;22.558122;7.98717;15.272646
1979-03-23;0.0;19.3;0.330356628196749;3.703;23.79975;7.7204075;15.76007875
1979-03-24;0.0;19.3;0.330356628196749;3.713;23.950766;7.3979708;15.6743684
1979-03-25;0.0;19.1;0.326933243448597;3.269;21.415977;7.2060457;14.311011350000001
1979-03-26;0.0;19.1;0.326933243448597;3.751;24.126199;5.7601317;14.94316535
1979-03-27;0.0;19.1;0.326933243448597;3.631;23.720819;6.1151135;14.91796625
1979-03-28;0.0;18.9;0.323509858700444;3.489;22.70595;5.0741857;13.890067850000001
1979-03-29;0.0;18.7;0.320086473952291;3.491;24.172058;8.8091292;16.4905936
1979-03-30;0.0;18.4;0.314951396830062;3.519;23.866323;6.7555725;15.31094775
1979-03-31;0.0;18.4;0.314951396830062;3.278;22.864195;7.7342396;15.299217299999999
1979-04-01;0.0;18.4;0.314951396830062;2.984;19.45341;2.5514728;11.0024414
1979-04-02;0.0;17.8;0.304681242585603;2.589;17.054444;3.2522697;10.15335685
1979-04-03;0.0;18.1;0.309816319707832;2.987;20.244251;3.7574069;12.000828949999999
1979-04-04;0.0;17.7;0.302969550211527;2.955;19.933238;2.5908782;11.262058099999999
1979-04-05;0.0;17.6;0.30125785783745;3.078;21.011894;2.1646364;11.5882652
1979-04-06;0.0;17.5;0.299546165463374;3.501;24.750907;4.0344536;14.3926803
1979-04-07;0.0;17.7;0.302969550211527;3.477;25.128864;5.204396;15.16663
1979-04-08;0.0;17.7;0.302969550211527;3.004;21.893912;5.0531839;13.47354795
1979-04-09;0.0;17.4;0.297834473089297;2.658;19.619273;5.2149691;12.41712105
1979-04-10;0.0;17.7;0.302969550211527;2.58;18.840762;3.9996296;11.4201958
1979-04-11;0.0;17.7;0.302969550211527;2.68;19.320381;2.1637964;10.7420887
1979-04-12;0.0;17.7;0.302969550211527;3.186;24.351942;5.479154;14.915548000000001
1979-04-13;0.0;18.0;0.308104627333756;3.102;23.969613;5.4567647;14.71318885
1979-04-14;0.0;17.5;0.299546165463374;2.89;22.599825;5.4538937;14.026859349999999
1979-04-15;0.0;17.0;0.290987703592992;2.834;22.399475;5.4415966;13.9205358
1979-04-16;0.0032390044;17.0;0.290987703592992;2.272;18.856811;6.9617633;12.90928715
1979-04-17;0.0;17.0;0.290987703592992;2.595;21.171469;5.9386397;13.555054349999999
1979-04-18;0.0;17.6;0.30125785783745;2.166;17.622094;5.08871;11.355402
1979-04-19;0.0;17.7;0.302969550211527;2.492;20.116257;3.8994083;12.007832650000001
1979-04-20;0.0;18.1;0.309816319707832;2.618;21.226824;3.1353605;12.18109225
1979-04-21;0.0;18.4;0.314951396830062;2.474;20.17424;2.9054306;11.5398353
1979-04-22;0.0;18.4;0.314951396830062;2.664;22.733069;5.3370649;14.035066950000001
1979-04-23;0.0;18.7;0.320086473952291;2.569;22.297793;5.7535028;14.0256479
1979-04-24;0.0;19.5;0.333780012944902;2.194;20.026301;7.432284;13.7292925
1979-04-25;0.0;19.5;0.333780012944902;2.186;19.858485;6.7702019;13.31434345
1979-04-26;6.0556059;19.4;0.332068320570826;2.203;19.681869;5.3697245;12.52579675
1979-04-27;17.084553;19.8;0.338915090067132;1.637;16.73159;8.7470611;12.73932555
1979-04-28;7.7526372;22.3;0.381707399419042;1.5;16.005816;9.0663993;12.53610765
1979-04-29;0.0;27.5;0.470715402871016;1.557;15.417898;7.1166506;11.2672743
1979-04-30;4.4574375;28.6;0.489544018985857;1.542;14.216379;4.74161;9.478994499999999
1979-05-01;25.742025;27.6;0.472427095245093;1.395;14.563489;7.4300048;10.9967469
1979-05-02;1.0947192;34.7;0.593957253804519;1.455;14.317238;5.9004004;10.1088192
1979-05-03;0.0;44.3;0.758279721715855;1.518;13.439778;2.3793442;7.9095611
1979-05-04;0.0;35.6;0.609362485171206;1.522;13.52429;2.0767286;7.8005093
1979-05-05;0.0;31.1;0.532336328337767;1.438;12.796644;2.0374799;7.417061950000001
1979-05-06;0.0;27.6;0.472427095245093;1.499;13.643851;2.1131101;7.87848055
1979-05-07;0.0;25.6;0.438193247763564;1.544;14.107462;1.5166681;7.81206505
1979-05-08;0.0;24.3;0.415941246900571;1.615;15.22431;2.0344046;8.629357299999999
1979-05-09;11.242309;24.0;0.410806169778341;1.547;16.205837;5.8036976;11.0047673
1979-05-10;15.616397;24.4;0.417652939274647;1.356;16.383073;9.1163364;12.749704699999999
1979-05-11;3.5523878e-05;26.5;0.453598479130252;1.45;17.025697;8.6045506;12.8151238
