"date","year","month","day","9116001"
1979-01-01,"1979","01","01",5.418
1979-01-02,"1979","01","02",5.953
1979-01-03,"1979","01","03",6.01
1979-01-04,"1979","01","04",6.346
1979-01-05,"1979","01","05",6.353
1979-01-06,"1979","01","06",6.453
1979-01-07,"1979","01","07",5.994
1979-01-08,"1979","01","08",6.144
1979-01-09,"1979","01","09",5.659
1979-01-10,"1979","01","10",5.874
1979-01-11,"1979","01","11",5.761
1979-01-12,"1979","01","12",4.638
1979-01-13,"1979","01","13",5.057
1979-01-14,"1979","01","14",5.416
1979-01-15,"1979","01","15",5.761
1979-01-16,"1979","01","16",5.717
1979-01-17,"1979","01","17",5.748
1979-01-18,"1979","01","18",6.464
1979-01-19,"1979","01","19",6.512
1979-01-20,"1979","01","20",6.227
1979-01-21,"1979","01","21",6.187
1979-01-22,"1979","01","22",5.806
1979-01-23,"1979","01","23",5.405
1979-01-24,"1979","01","24",5.314
1979-01-25,"1979","01","25",6.017
1979-01-26,"1979","01","26",5.066
1979-01-27,"1979","01","27",5.311
1979-01-28,"1979","01","28",5.547
1979-01-29,"1979","01","29",5.859
1979-01-30,"1979","01","30",5.984
1979-01-31,"1979","01","31",6.195
1979-02-01,"1979","02","01",6.178
1979-02-02,"1979","02","02",5.729
1979-02-03,"1979","02","03",5.458
1979-02-04,"1979","02","04",4.621
1979-02-05,"1979","02","05",4.939
1979-02-06,"1979","02","06",4.884
1979-02-07,"1979","02","07",6.442
1979-02-08,"1979","02","08",6.003
1979-02-09,"1979","02","09",5.049
1979-02-10,"1979","02","10",5.434
1979-02-11,"1979","02","11",5.266
1979-02-12,"1979","02","12",5.381
1979-02-13,"1979","02","13",4.828
1979-02-14,"1979","02","14",4.589
1979-02-15,"1979","02","15",5.287
1979-02-16,"1979","02","16",4.867
1979-02-17,"1979","02","17",4.525
1979-02-18,"1979","02","18",4.936
1979-02-19,"1979","02","19",5.055
1979-02-20,"1979","02","20",5.583
1979-02-21,"1979","02","21",5.597
1979-02-22,"1979","02","22",4.744
1979-02-23,"1979","02","23",4.564
1979-02-24,"1979","02","24",4.619
1979-02-25,"1979","02","25",4.55
1979-02-26,"1979","02","26",4.792
1979-02-27,"1979","02","27",4.268
1979-02-28,"1979","02","28",5.001
1979-03-01,"1979","03","01",5.643
1979-03-02,"1979","03","02",4.08
1979-03-03,"1979","03","03",3.898
1979-03-04,"1979","03","04",3.734
1979-03-05,"1979","03","05",3.875
1979-03-06,"1979","03","06",3.482
1979-03-07,"1979","03","07",3.652
1979-03-08,"1979","03","08",3.853
1979-03-09,"1979","03","09",3.991
1979-03-10,"1979","03","10",4.344
1979-03-11,"1979","03","11",4.667
1979-03-12,"1979","03","12",4.659
1979-03-13,"1979","03","13",3.895
1979-03-14,"1979","03","14",3.729
1979-03-15,"1979","03","15",3.936
1979-03-16,"1979","03","16",3.991
1979-03-17,"1979","03","17",4.253
1979-03-18,"1979","03","18",3.957
1979-03-19,"1979","03","19",4.092
1979-03-20,"1979","03","20",4.579
1979-03-21,"1979","03","21",3.338
1979-03-22,"1979","03","22",3.505
1979-03-23,"1979","03","23",3.703
1979-03-24,"1979","03","24",3.713
1979-03-25,"1979","03","25",3.269
1979-03-26,"1979","03","26",3.751
1979-03-27,"1979","03","27",3.631
1979-03-28,"1979","03","28",3.489
1979-03-29,"1979","03","29",3.491
1979-03-30,"1979","03","30",3.519
1979-03-31,"1979","03","31",3.278
1979-04-01,"1979","04","01",2.984
1979-04-02,"1979","04","02",2.589
1979-04-03,"1979","04","03",2.987
1979-04-04,"1979","04","04",2.955
1979-04-05,"1979","04","05",3.078
1979-04-06,"1979","04","06",3.501
1979-04-07,"1979","04","07",3.477
1979-04-08,"1979","04","08",3.004
1979-04-09,"1979","04","09",2.658
1979-04-10,"1979","04","10",2.58
1979-04-11,"1979","04","11",2.68
1979-04-12,"1979","04","12",3.186
1979-04-13,"1979","04","13",3.102
1979-04-14,"1979","04","14",2.89
1979-04-15,"1979","04","15",2.834
1979-04-16,"1979","04","16",2.272
1979-04-17,"1979","04","17",2.595
1979-04-18,"1979","04","18",2.166
1979-04-19,"1979","04","19",2.492
1979-04-20,"1979","04","20",2.618
1979-04-21,"1979","04","21",2.474
1979-04-22,"1979","04","22",2.664
1979-04-23,"1979","04","23",2.569
1979-04-24,"1979","04","24",2.194
1979-04-25,"1979","04","25",2.186
1979-04-26,"1979","04","26",2.203
1979-04-27,"1979","04","27",1.637
1979-04-28,"1979","04","28",1.5
1979-04-29,"1979","04","29",1.557
1979-04-30,"1979","04","30",1.542
1979-05-01,"1979","05","01",1.395
1979-05-02,"1979","05","02",1.455
1979-05-03,"1979","05","03",1.518
1979-05-04,"1979","05","04",1.522
1979-05-05,"1979","05","05",1.438
1979-05-06,"1979","05","06",1.499
1979-05-07,"1979","05","07",1.544
1979-05-08,"1979","05","08",1.615
1979-05-09,"1979","05","09",1.547
