"date","year","month","day","9116001"
1979-01-01,1979,1,1,17.85421159
1979-02-01,1979,2,1,13.4232890459
1979-03-01,1979,3,1,16.5356493334
1979-04-01,1979,4,1,35.3534726044
1979-05-01,1979,5,1,176.002039020178
1979-06-01,1979,6,1,74.3137800935
1979-07-01,1979,7,1,278.02234404
1979-08-01,1979,8,1,300.80091511
1979-09-01,1979,9,1,137.7966018079
1979-10-01,1979,10,1,73.6302554231
1979-11-01,1979,11,1,115.4160247455
1979-12-01,1979,12,1,86.5305691796
1980-01-01,1980,1,1,4.893375902
1980-02-01,1980,2,1,126.0986363818
1980-03-01,1980,3,1,28.89907002893
1980-04-01,1980,4,1,233.032613377
1980-05-01,1980,5,1,454.387000212
1980-06-01,1980,6,1,258.95311833
1980-07-01,1980,7,1,190.976528160274
1980-08-01,1980,8,1,185.00605908
1980-09-01,1980,9,1,90.9450647
1980-10-01,1980,10,1,4.2546736644
1980-11-01,1980,11,1,58.643769333
1980-12-01,1980,12,1,128.326336467948
1981-01-01,1981,1,1,129.76705625385
1981-02-01,1981,2,1,16.402949219
1981-03-01,1981,3,1,49.6556656
1981-04-01,1981,4,1,92.57339692
1981-05-01,1981,5,1,466.504710927
1981-06-01,1981,6,1,172.90285523725
1981-07-01,1981,7,1,210.2215273053
1981-08-01,1981,8,1,93.92225497
1981-09-01,1981,9,1,72.929449835576
1981-10-01,1981,10,1,61.0293020776
1981-11-01,1981,11,1,12.233881390637
1981-12-01,1981,12,1,23.73824725989
1982-01-01,1982,1,1,66.24775199
1982-02-01,1982,2,1,48.49046422588
1982-03-01,1982,3,1,32.66873401
1982-04-01,1982,4,1,37.08102557751
1982-05-01,1982,5,1,287.796390474
1982-06-01,1982,6,1,307.48953012728
1982-07-01,1982,7,1,342.472142093
1982-08-01,1982,8,1,199.957381306
1982-09-01,1982,9,1,161.41337277338
1982-10-01,1982,10,1,137.4699991652
1982-11-01,1982,11,1,57.0631923455
1982-12-01,1982,12,1,0.85996194175
1983-01-01,1983,1,1,63.08953402712
1983-02-01,1983,2,1,0.9392712088
1983-03-01,1983,3,1,18.02931408554
1983-04-01,1983,4,1,112.3902249
1983-05-01,1983,5,1,154.973565458
1983-06-01,1983,6,1,197.761716258
1983-07-01,1983,7,1,182.74028252
1983-08-01,1983,8,1,166.7448047
1983-09-01,1983,9,1,123.027109728
1983-10-01,1983,10,1,54.9683797254
1983-11-01,1983,11,1,3.283971
1983-12-01,1983,12,1,9.746925483428
1984-01-01,1984,1,1,12.776171542
1984-02-01,1984,2,1,63.3538745
1984-03-01,1984,3,1,31.151199681354
1984-04-01,1984,4,1,37.173204773859
1984-05-01,1984,5,1,443.928478433
1984-06-01,1984,6,1,256.6471159047
1984-07-01,1984,7,1,262.602708091551
1984-08-01,1984,8,1,96.01664642
1984-09-01,1984,9,1,138.4863147883
1984-10-01,1984,10,1,175.936744293
1984-11-01,1984,11,1,37.1820411483
1984-12-01,1984,12,1,8.85264674431
1985-01-01,1985,1,1,67.772752913
