"date","year","month","day","9116001"
1979-01-01,1979,1,1,32.31
1979-02-01,1979,2,1,15.066
1979-03-01,1979,3,1,11.46
1979-04-01,1979,4,1,21.585
1979-05-01,1979,5,1,182.573
1979-06-01,1979,6,1,78.313
1979-07-01,1979,7,1,211.92
1979-08-01,1979,8,1,264.032
1979-09-01,1979,9,1,131.574
1979-10-01,1979,10,1,41.752
1979-11-01,1979,11,1,109.816
1979-12-01,1979,12,1,82.408
1980-01-01,1980,1,1,1.574
1980-02-01,1980,2,1,102.533
1980-03-01,1980,3,1,35.977
1980-04-01,1980,4,1,220.525
1980-05-01,1980,5,1,460.058
1980-06-01,1980,6,1,257.644
1980-07-01,1980,7,1,188.173
1980-08-01,1980,8,1,165.232
1980-09-01,1980,9,1,89.987
1980-10-01,1980,10,1,4.085
1980-11-01,1980,11,1,43.44
1980-12-01,1980,12,1,78.395
1981-01-01,1981,1,1,113.293
1981-02-01,1981,2,1,12.793
1981-03-01,1981,3,1,49.877
1981-04-01,1981,4,1,101.257
1981-05-01,1981,5,1,478.346
1981-06-01,1981,6,1,142.275
1981-07-01,1981,7,1,180.754
1981-08-01,1981,8,1,83.914
1981-09-01,1981,9,1,68.245
1981-10-01,1981,10,1,33.944
1981-11-01,1981,11,1,9.695
1981-12-01,1981,12,1,22.587
1982-01-01,1982,1,1,87.408
1982-02-01,1982,2,1,42.315
1982-03-01,1982,3,1,36.521
1982-04-01,1982,4,1,35.974
1982-05-01,1982,5,1,238.65
1982-06-01,1982,6,1,337.566
1982-07-01,1982,7,1,320.621
1982-08-01,1982,8,1,186.071
1982-09-01,1982,9,1,146.258
1982-10-01,1982,10,1,115.251
1982-11-01,1982,11,1,40.403
1982-12-01,1982,12,1,0.624
1983-01-01,1983,1,1,36.711
1983-02-01,1983,2,1,5.461
1983-03-01,1983,3,1,18.736
1983-04-01,1983,4,1,113.804
1983-05-01,1983,5,1,146.613
1983-06-01,1983,6,1,236.106
1983-07-01,1983,7,1,159.477
1983-08-01,1983,8,1,153.604
1983-09-01,1983,9,1,156.244
1983-10-01,1983,10,1,40.316
1983-11-01,1983,11,1,1.089
1983-12-01,1983,12,1,7.635
1984-01-01,1984,1,1,18.623
1984-02-01,1984,2,1,56.149
1984-03-01,1984,3,1,17.954
1984-04-01,1984,4,1,25.625
1984-05-01,1984,5,1,485.684
1984-06-01,1984,6,1,182.574
1984-07-01,1984,7,1,275.51
1984-08-01,1984,8,1,76.834
1984-09-01,1984,9,1,118.893
1984-10-01,1984,10,1,194.917
1984-11-01,1984,11,1,33.767
1984-12-01,1984,12,1,7.985
1985-01-01,1985,1,1,62.481
1985-02-01,1985,2,1,6.861
1985-03-01,1985,3,1,41.423
1985-04-01,1985,4,1,110.752
1985-05-01,1985,5,1,345.481
1985-06-01,1985,6,1,144.424
1985-07-01,1985,7,1,136.649
1985-08-01,1985,8,1,73.583
1985-09-01,1985,9,1,130.762
1985-10-01,1985,10,1,69.648
1985-11-01,1985,11,1,55.165
1985-12-01,1985,12,1,2.452
1986-01-01,1986,1,1,22.036
1986-02-01,1986,2,1,75.831
1986-03-01,1986,3,1,53.086
1986-04-01,1986,4,1,155.16
1986-05-01,1986,5,1,272.176
1986-06-01,1986,6,1,260.376
1986-07-01,1986,7,1,118.294
1986-08-01,1986,8,1,185.759
1986-09-01,1986,9,1,75.688
1986-10-01,1986,10,1,59.808
1986-11-01,1986,11,1,151.472
1986-12-01,1986,12,1,10.841
1987-01-01,1987,1,1,0.312
1987-02-01,1987,2,1,11.582
1987-03-01,1987,3,1,76.314
1987-04-01,1987,4,1,62.892
1987-05-01,1987,5,1,139.601
1987-06-01,1987,6,1,144.592
1987-07-01,1987,7,1,305.206
1987-08-01,1987,8,1,188.179
1987-09-01,1987,9,1,110.084
1987-10-01,1987,10,1,73.751
1987-11-01,1987,11,1,32.804
1987-12-01,1987,12,1,20.276
1988-01-01,1988,1,1,45.266
1988-02-01,1988,2,1,0.058
1988-03-01,1988,3,1,79.968
1988-04-01,1988,4,1,43.259
1988-05-01,1988,5,1,74.033
1988-06-01,1988,6,1,201.877
1988-07-01,1988,7,1,175.719
1988-08-01,1988,8,1,213.293
1988-09-01,1988,9,1,58.697
1988-10-01,1988,10,1,80.118
1988-11-01,1988,11,1,22.113
1988-12-01,1988,12,1,33.37
1989-01-01,1989,1,1,18.737
1989-02-01,1989,2,1,7.843
1989-03-01,1989,3,1,40.044
1989-04-01,1989,4,1,14.958
1989-05-01,1989,5,1,77.281
1989-06-01,1989,6,1,272.599
1989-07-01,1989,7,1,245.267
1989-08-01,1989,8,1,210.489
1989-09-01,1989,9,1,57.533
1989-10-01,1989,10,1,47.329
1989-11-01,1989,11,1,21.811
