"date","year","month","day","9116001"
1979-01-01,"1979","01","01",32.939
1979-02-01,"1979","02","01",23.504
1979-03-01,"1979","03","01",20.619
1979-04-01,"1979","04","01",18.833
1979-05-01,"1979","05","01",44.232
1979-06-01,"1979","06","01",63.34
1979-07-01,"1979","07","01",245.1
1979-08-01,"1979","08","01",401.419
1979-09-01,"1979","09","01",340.667
1979-10-01,"1979","10","01",134.774
1979-11-01,"1979","11","01",115.613
1979-12-01,"1979","12","01",97.848
1980-01-01,"1980","01","01",46.95
1980-02-01,"1980","02","01",37.731
1980-03-01,"1980","03","01",38.755
1980-04-01,"1980","04","01",96.137
1980-05-01,"1980","05","01",608.129
1980-06-01,"1980","06","01",586.133
1980-07-01,"1980","07","01",402.774
1980-08-01,"1980","08","01",367.968
1980-09-01,"1980","09","01",103.943
1980-10-01,"1980","10","01",91.435
1980-11-01,"1980","11","01",61.903
1980-12-01,"1980","12","01",40.742
1981-01-01,"1981","01","01",48.216
1981-02-01,"1981","02","01",32.018
1981-03-01,"1981","03","01",30.706
1981-04-01,"1981","04","01",35.633
1981-05-01,"1981","05","01",396.774
1981-06-01,"1981","06","01",293.067
1981-07-01,"1981","07","01",310.935
1981-08-01,"1981","08","01",196.065
1981-09-01,"1981","09","01",NA
1981-10-01,"1981","10","01",80.477
1981-11-01,"1981","11","01",49.77
1981-12-01,"1981","12","01",27.613
1982-01-01,"1982","01","01",23.223
1982-02-01,"1982","02","01",24.821
1982-03-01,"1982","03","01",18.474
1982-04-01,"1982","04","01",18.15
1982-05-01,"1982","05","01",100.023
1982-06-01,"1982","06","01",355.43
1982-07-01,"1982","07","01",591.71
1982-08-01,"1982","08","01",301.484
1982-09-01,"1982","09","01",239.767
1982-10-01,"1982","10","01",196.839
1982-11-01,"1982","11","01",109.943
1982-12-01,"1982","12","01",55.206
1983-01-01,"1983","01","01",31.168
1983-02-01,"1983","02","01",24.979
1983-03-01,"1983","03","01",21.626
1983-04-01,"1983","04","01",29.613
1983-05-01,"1983","05","01",68.561
1983-06-01,"1983","06","01",270.133
1983-07-01,"1983","07","01",271.935
1983-08-01,"1983","08","01",198.613
1983-09-01,"1983","09","01",183.4
1983-10-01,"1983","10","01",116.887
1983-11-01,"1983","11","01",57.197
1983-12-01,"1983","12","01",28.468
1984-01-01,"1984","01","01",20.687
1984-02-01,"1984","02","01",19.424
1984-03-01,"1984","03","01",18.352
1984-04-01,"1984","04","01",19.723
1984-05-01,"1984","05","01",299.239
1984-06-01,"1984","06","01",266.533
1984-07-01,"1984","07","01",594.903
1984-08-01,"1984","08","01",167.774
1984-09-01,"1984","09","01",158.333
1984-10-01,"1984","10","01",189.323
1984-11-01,"1984","11","01",176.15
1984-12-01,"1984","12","01",62.635
1985-01-01,"1985","01","01",36.765
1985-02-01,"1985","02","01",24.379
1985-03-01,"1985","03","01",22.035
1985-04-01,"1985","04","01",39.037
1985-05-01,"1985","05","01",189.177
1985-06-01,"1985","06","01",235.967
1985-07-01,"1985","07","01",343.548
1985-08-01,"1985","08","01",123.903
1985-09-01,"1985","09","01",178.257
1985-10-01,"1985","10","01",101.81
1985-11-01,"1985","11","01",86.87
1985-12-01,"1985","12","01",39.035
1986-01-01,"1986","01","01",23.955
1986-02-01,"1986","02","01",23.675
1986-03-01,"1986","03","01",24.777
1986-04-01,"1986","04","01",52.507
1986-05-01,"1986","05","01",199.747
1986-06-01,"1986","06","01",465.567
1986-07-01,"1986","07","01",196.065
1986-08-01,"1986","08","01",273.226
1986-09-01,"1986","09","01",155.967
1986-10-01,"1986","10","01",101.004
1986-11-01,"1986","11","01",NA
1986-12-01,"1986","12","01",88.261
1987-01-01,"1987","01","01",32.213
1987-02-01,"1987","02","01",21.9
1987-03-01,"1987","03","01",22.145
1987-04-01,"1987","04","01",25.743
1987-05-01,"1987","05","01",44.39
1987-06-01,"1987","06","01",162.673
1987-07-01,"1987","07","01",335.845
1987-08-01,"1987","08","01",311.29
1987-09-01,"1987","09","01",167.367
1987-10-01,"1987","10","01",103.897
1987-11-01,"1987","11","01",56.45
1987-12-01,"1987","12","01",33.032
1988-01-01,"1988","01","01",23.543
1988-02-01,"1988","02","01",16.159
1988-03-01,"1988","03","01",20.548
1988-04-01,"1988","04","01",17.09
1988-05-01,"1988","05","01",21.368
1988-06-01,"1988","06","01",77
1988-07-01,"1988","07","01",154.642
1988-08-01,"1988","08","01",297.258
1988-09-01,"1988","09","01",157.437
1988-10-01,"1988","10","01",77.865
1988-11-01,"1988","11","01",57.383
