"date","year","month","day","9116001"
1979-01-01,"1979","01","01",17.478244884008
1979-02-01,"1979","02","01",11.2648529168818
1979-03-01,"1979","03","01",10.9409493689353
1979-04-01,"1979","04","01",9.67089074429438
1979-05-01,"1979","05","01",23.470588897946
1979-06-01,"1979","06","01",32.5255784922002
1979-07-01,"1979","07","01",130.056098274701
1979-08-01,"1979","08","01",213.002810743909
1979-09-01,"1979","09","01",174.935131799848
1979-10-01,"1979","10","01",71.5144046873705
1979-11-01,"1979","11","01",59.3681671332292
1979-12-01,"1979","12","01",51.9205593797752
1980-01-01,"1980","01","01",24.9128266584953
1980-02-01,"1980","02","01",18.7293208402205
1980-03-01,"1980","03","01",20.5643577667728
1980-04-01,"1980","04","01",49.3670909299755
1980-05-01,"1980","05","01",322.688229243963
1980-06-01,"1980","06","01",300.983815888361
1980-07-01,"1980","07","01",213.72180712564
1980-08-01,"1980","08","01",195.252886046287
1980-09-01,"1980","09","01",53.3755321315877
1980-10-01,"1980","10","01",48.5176635893401
1980-11-01,"1980","11","01",31.7876679097358
1980-12-01,"1980","12","01",21.6187089184327
1981-01-01,"1981","01","01",25.5845974476253
1981-02-01,"1981","02","01",15.3453906012901
1981-03-01,"1981","03","01",16.2933600719011
1981-04-01,"1981","04","01",18.2978203096395
1981-05-01,"1981","05","01",210.538059309857
1981-06-01,"1981","06","01",150.492164698036
1981-07-01,"1981","07","01",164.98977118337
1981-08-01,"1981","08","01",104.036919250221
1981-09-01,"1981","09","01",NA
1981-10-01,"1981","10","01",42.7030788284499
1981-11-01,"1981","11","01",25.5572788373351
1981-12-01,"1981","12","01",14.6521380728654
1982-01-01,"1982","01","01",12.3226959209848
1982-02-01,"1982","02","01",11.8960565967462
1982-03-01,"1982","03","01",9.80275952479322
1982-04-01,"1982","04","01",9.32016497684612
1982-05-01,"1982","05","01",53.0746679629963
1982-06-01,"1982","06","01",182.516046155395
1982-07-01,"1982","07","01",313.975903346075
1982-08-01,"1982","08","01",159.974837748877
1982-09-01,"1982","09","01",123.122203636554
1982-10-01,"1982","10","01",104.447622718457
1982-11-01,"1982","11","01",56.4565784049252
1982-12-01,"1982","12","01",29.2936636530115
1983-01-01,"1983","01","01",16.5385086537163
1983-02-01,"1983","02","01",11.9717818673754
1983-03-01,"1983","03","01",11.4752883773508
1983-04-01,"1983","04","01",15.2065038820575
1983-05-01,"1983","05","01",36.3801556663066
1983-06-01,"1983","06","01",138.715378825916
1983-07-01,"1983","07","01",144.295410380786
1983-08-01,"1983","08","01",105.388950822657
1983-09-01,"1983","09","01",94.1773144216847
1983-10-01,"1983","10","01",62.0231218238879
1983-11-01,"1983","11","01",29.3711006160147
1983-12-01,"1983","12","01",15.1058221366144
1984-01-01,"1984","01","01",10.9770318441809
1984-02-01,"1984","02","01",9.64189467547752
1984-03-01,"1984","03","01",9.73802331920565
1984-04-01,"1984","04","01",10.1279126081728
1984-05-01,"1984","05","01",158.783585441139
1984-06-01,"1984","06","01",136.866751061913
1984-07-01,"1984","07","01",315.670187808708
1984-08-01,"1984","08","01",89.0250176741723
1984-09-01,"1984","09","01",81.3052165993927
1984-10-01,"1984","10","01",100.459447954554
1984-11-01,"1984","11","01",90.4543835080685
1984-12-01,"1984","12","01",33.2356740735858
1985-01-01,"1985","01","01",19.5084147412051
1985-02-01,"1985","02","01",11.6842175485305
1985-03-01,"1985","03","01",11.6923138534599
1985-04-01,"1985","04","01",20.0458005620464
1985-05-01,"1985","05","01",100.381976757703
1985-06-01,"1985","06","01",121.170874330107
1985-07-01,"1985","07","01",182.295032436054
1985-08-01,"1985","08","01",65.7459842698092
1985-09-01,"1985","09","01",91.5363442577222
1985-10-01,"1985","10","01",54.0228941874634
1985-11-01,"1985","11","01",44.6084149608056
1985-12-01,"1985","12","01",20.7129326648427
1986-01-01,"1986","01","01",12.7111131545102
1986-02-01,"1986","02","01",11.3468087477526
1986-03-01,"1986","03","01",13.1472866052724
1986-04-01,"1986","04","01",26.9627494456892
1986-05-01,"1986","05","01",105.990679159839
1986-06-01,"1986","06","01",239.072245056491
1986-07-01,"1986","07","01",104.036919250221
1986-08-01,"1986","08","01",144.980446785815
1986-09-01,"1986","09","01",80.0902573522732
1986-10-01,"1986","10","01",53.5952107308766
1986-11-01,"1986","11","01",NA
1986-12-01,"1986","12","01",46.8334609947913
1987-01-01,"1987","01","01",17.0930113982984
1987-02-01,"1987","02","01",10.4960976378366
1987-03-01,"1987","03","01",11.7506825634159
1987-04-01,"1987","04","01",13.2192290357548
1987-05-01,"1987","05","01",23.5544275904282
1987-06-01,"1987","06","01",83.5338400704401
1987-07-01,"1987","07","01",178.207630865226
1987-08-01,"1987","08","01",165.178142929137
1987-09-01,"1987","09","01",85.9442452716145
1987-10-01,"1987","10","01",55.1303078027196
1987-11-01,"1987","11","01",28.9875103549842
1987-12-01,"1987","12","01",17.5275929751526
1988-01-01,"1988","01","01",12.4924958044932
1988-02-01,"1988","02","01",8.02117875108326
1988-03-01,"1988","03","01",10.9032750197819
1988-04-01,"1988","04","01",8.77584680188982
1988-05-01,"1988","05","01",11.3383872212721
1988-06-01,"1988","06","01",39.5400938411654
1988-07-01,"1988","07","01",82.0568549546971
1988-08-01,"1988","08","01",157.732418037295
1988-09-01,"1988","09","01",80.8451136892409
1988-10-01,"1988","10","01",41.3170872793128
1988-11-01,"1988","11","01",29.4666130504882
1988-12-01,"1988","12","01",16.4525474626902
1989-01-01,"1989","01","01",10.4294272198663
1989-02-01,"1989","02","01",7.33480722600236
1989-03-01,"1989","03","01",8.22308998352932
1989-04-01,"1989","04","01",8.54117377740394
1989-05-01,"1989","05","01",8.53456664484
1989-06-01,"1989","06","01",35.3036552153262
1989-07-01,"1989","07","01",117.70793237119
1989-08-01,"1989","08","01",222.673975358983
1989-09-01,"1989","09","01",81.9404256394124
1989-10-01,"1989","10","01",31.1184817760907
1989-11-01,"1989","11","01",18.3974408058108
1989-12-01,"1989","12","01",34.1907984183204
1990-01-01,"1990","01","01",14.0307766241519
1990-02-01,"1990","02","01",8.79467541800466
1990-03-01,"1990","03","01",11.603699539254
1990-04-01,"1990","04","01",24.9908798307532
1990-05-01,"1990","05","01",53.3909202460306
1990-06-01,"1990","06","01",103.64280208109
1990-07-01,"1990","07","01",94.1604029010289
1990-08-01,"1990","08","01",132.673138979274
1990-09-01,"1990","09","01",140.495710064193
1990-10-01,"1990","10","01",74.7374187262139
1990-11-01,"1990","11","01",33.4139468343458
1990-12-01,"1990","12","01",17.7212709672794
1991-01-01,"1991","01","01",11.223772299904
1991-02-01,"1991","02","01",7.8979540170735
1991-03-01,"1991","03","01",9.27372676273743
1991-04-01,"1991","04","01",17.8099879830278
1991-05-01,"1991","05","01",117.353475114366
1991-06-01,"1991","06","01",146.743558398809
1991-07-01,"1991","07","01",188.713998657307
1991-08-01,"1991","08","01",111.071940673828
1991-09-01,"1991","09","01",71.9388359284465
1991-10-01,"1991","10","01",54.1067328799456
1991-11-01,"1991","11","01",28.9772402007398
1991-12-01,"1991","12","01",27.1494094990822
1992-01-01,"1992","01","01",16.8950884090839
1992-02-01,"1992","02","01",10.6024108511905
1992-03-01,"1992","03","01",10.9239693805845
1992-04-01,"1992","04","01",16.9544841344644
1992-05-01,"1992","05","01",152.208615576913
1992-06-01,"1992","06","01",304.527019102699
1992-07-01,"1992","07","01",139.70816040288
1992-08-01,"1992","08","01",92.5855089814886
1992-09-01,"1992","09","01",100.750213138138
1992-10-01,"1992","10","01",80.8263364238973
1992-11-01,"1992","11","01",45.0125455303251
1992-12-01,"1992","12","01",28.1830662899395
1993-01-01,"1993","01","01",14.6128718498041
