Mes;caudal_m3s;escorrentia_mm;etp;temperatura_media;precipitacion_mm_mes
1;27.90637893927748;0.4776713601844813;5.670358678955453;16.847950637250385;27.039152633206246
2;21.461959425190194;0.3673627228083565;5.133626790227464;16.786795120808762;30.64600365000988
3;21.0526095311299;0.36035591188843646;3.824947004608295;14.876153092818742;43.51164106848519
4;28.59294141578519;0.48942319773813403;2.2674039682539684;11.814144352707936;89.0789644394515
5;108.27141776061777;1.853273601112919;1.3271392604248624;9.83179951766365;197.67303515955194
6;261.36430679933665;4.4737529080419485;0.9621772357723578;7.9686526877131705;232.58360507151096
7;315.5978127555192;5.402063693688208;1.0501919748229742;7.350688136145239;201.59993813469833
8;264.88912282091917;4.5340869150836;1.5501345397324942;8.307897825720142;172.77993143391473
9;192.53491083333336;3.2956053861690053;2.4413991869918696;9.714270729431504;100.54386658506652
10;118.09358634538154;2.02139891174725;3.4501801730920536;11.302785529427222;83.69711223607624
11;74.417705;1.2738021814476883;4.440292682926829;13.197071293630081;52.27002687815748
12;48.06906370967742;0.8227944978084852;5.2475649095200625;15.276374082730134;41.5500697731041
