Ano_Hidrologico;Precipitacion_Anual;Caudal_Medio_Anual;Escorrentia_Anual;Temperatura_Media_Anual;Clasificacion
1979;1437.757084336908;127.13810888252148;759.4984466861974;12.203288939637705;Normal
1980;1800.350834397472;207.20301369863014;1294.5375372826313;11.741543607624656;Húmedo
1981;1353.462576149133;133.46119402985076;765.289101987698;11.97338682375452;Normal
1982;1613.66111512508;171.6104109589041;1072.166445889241;12.210754527041095;Húmedo
1983;1112.918225496182;108.08563535911603;669.7338752048815;11.893050338278687;Normal
1984;1590.3649896218199;169.4731506849315;1058.813533679071;11.439731833193152;Húmedo
1985;1291.780523050754;118.08;737.7257196879453;11.886940183541094;Normal
1986;1481.6479800498594;147.60460122699385;823.6509651742077;12.218614421465752;Húmedo
1987;1342.0404881393208;108.97650273224045;682.7153501698773;12.196989100737705;Normal
1988;973.977841014363;78.99123287671233;493.51172190896585;11.645976261443836;Seco
1989;1092.1827765235705;94.88931506849315;592.8378069918724;11.982283613876714;Seco
1990;1097.4808071515824;112.62136986301371;703.6219608268466;11.749894243473973;Normal
1991;1433.7276136006758;128.12213114754098;802.6587698985342;11.915817040332787;Normal
1992;1454.128056904941;159.3841095890411;995.7804620037068;11.592254792686301;Normal
1993;1544.618107286228;186.48356164383563;1165.089089800728;11.768065897164385;Húmedo
1994;1298.290622624895;126.86794520547946;792.6299642788207;11.865763463245205;Normal
1995;1352.91698455939;145.21775956284154;909.7593617444962;11.672106290129781;Normal
1996;825.8334300622021;62.42164383561644;389.9902788171979;11.917273890182193;Seco
1997;1717.987251783737;156.1917808219178;975.8358224609682;12.287983253852603;Húmedo
1998;743.844974477908;43.26958904109589;270.3344234073856;12.040026550117261;Seco
1999;1236.081431381823;101.31857923497267;634.7400363092631;11.734701313274044;Normal
2000;1437.86529243407;147.7664835164835;920.6679772444851;11.652364472193153;Normal
2001;1439.873599580975;153.31452054794522;957.8596291484179;12.036873600149315;Normal
2002;1481.60809605631;141.9495890410959;886.8552060869795;11.592229433930548;Normal
2003;1254.890048615185;104.15491803278688;652.5091148445505;12.103664961911202;Normal
2004;1285.87931870469;109.08657534246575;681.5377058165127;12.064018434815479;Normal
2005;1564.542173010978;162.94821917808218;1018.0478680980668;11.701278446324658;Húmedo
2006;1551.53214405993;162.37890410958906;1014.4909713447362;11.922182190452054;Húmedo
2007;1023.3619356743511;90.29289617486339;565.6664022457834;11.580069465672132;Seco
2008;1328.669381504729;131.5868493150685;822.112153729913;12.313812474932329;Normal
2009;1415.9215013457967;132.93753424657532;830.5507971341096;11.49334141349178;Normal
2010;1165.378357533977;96.07287671232876;600.2323180478826;11.479155563787671;Normal
2011;1190.49836730448;105.57158469945354;661.3842398041369;12.000452908222268;Normal
2012;1133.8369928280383;67.14904109589041;419.5255307318866;11.949621741400001;Normal
2013;1043.006764507751;84.7622754491018;484.59038125527957;11.836853713663015;Seco
2014;1258.084823377137;131.1309589041096;819.2638976194498;12.116547871734248;Normal
2015;1411.11815105814;140.86849315068494;880.1008679788738;12.394741962804645;Normal
2016;1029.304360227693;54.0089430894309;227.4188722045416;12.566718183726028;Seco
2017;1305.131071910097;123.69013698630137;772.7760444319081;11.80400852850411;Normal
2018;1211.0145152526404;125.4945205479452;784.0492504075755;11.733256307346576;Normal
2019;1033.497885868775;99.41976229508197;622.8443391679157;12.25022521744672;Seco
