"date","year","month","day","9116001"
1979-01-01,1979,1,1,25.3056544516129
1979-02-01,1979,2,1,25.1336610357143
1979-03-01,1979,3,1,23.3905963225806
1979-04-01,1979,4,1,20.2236362
1979-05-01,1979,5,1,14.7443240967742
1979-06-01,1979,6,1,11.76563932
1979-07-01,1979,7,1,12.5401510064516
1979-08-01,1979,8,1,13.6362018387097
1979-09-01,1979,9,1,14.3915486333333
1979-10-01,1979,10,1,17.2139547741935
1979-11-01,1979,11,1,19.6713346
1979-12-01,1979,12,1,22.9888978387097
1980-01-01,1980,1,1,25.7291601612903
1980-02-01,1980,2,1,24.4503995862069
1980-03-01,1980,3,1,23.5834219677419
1980-04-01,1980,4,1,15.7182288333333
1980-05-01,1980,5,1,14.326206516129
1980-06-01,1980,6,1,12.41994072
1980-07-01,1980,7,1,12.1235325451613
1980-08-01,1980,8,1,13.8506789354839
1980-09-01,1980,9,1,15.7765473333333
1980-10-01,1980,10,1,18.2472823870968
1980-11-01,1980,11,1,19.3599645333333
1980-12-01,1980,12,1,22.7550428387097
1981-01-01,1981,1,1,22.8418478709677
1981-02-01,1981,2,1,23.9296904642857
1981-03-01,1981,3,1,23.2628996129032
1981-04-01,1981,4,1,19.2349134333333
1981-05-01,1981,5,1,14.8969781612903
1981-06-01,1981,6,1,12.3521805333333
1981-07-01,1981,7,1,12.9193029774194
1981-08-01,1981,8,1,13.4826533225806
1981-09-01,1981,9,1,15.2941397
1981-10-01,1981,10,1,18.2146574516129
1981-11-01,1981,11,1,19.3428185333333
1981-12-01,1981,12,1,22.5898898064516
1982-01-01,1982,1,1,25.5188943225806
1982-02-01,1982,2,1,23.419796
1982-03-01,1982,3,1,22.5904341935484
1982-04-01,1982,4,1,19.8075881333333
1982-05-01,1982,5,1,15.3249075806452
1982-06-01,1982,6,1,11.4109858933333
1982-07-01,1982,7,1,11.8518412548387
1982-08-01,1982,8,1,13.7003886
1982-09-01,1982,9,1,16.5865472333333
1982-10-01,1982,10,1,15.9930353548387
1982-11-01,1982,11,1,18.2095058
1982-12-01,1982,12,1,23.9630113870968
1983-01-01,1983,1,1,26.3239328064516
1983-02-01,1983,2,1,24.6047946785714
1983-03-01,1983,3,1,22.3409560645161
1983-04-01,1983,4,1,18.2098369
1983-05-01,1983,5,1,13.9935810322581
1983-06-01,1983,6,1,10.8867389133333
1983-07-01,1983,7,1,11.0537890483871
1983-08-01,1983,8,1,13.8459148677419
1983-09-01,1983,9,1,14.4627736333333
1983-10-01,1983,10,1,18.6220407419355
1983-11-01,1983,11,1,21.9571415333333
1983-12-01,1983,12,1,25.2050556129032
1984-01-01,1984,1,1,25.493268483871
1984-02-01,1984,2,1,23.4307693793103
1984-03-01,1984,3,1,23.7477039354839
1984-04-01,1984,4,1,18.5488530666667
1984-05-01,1984,5,1,12.3047075806452
1984-06-01,1984,6,1,10.1035008466667
1984-07-01,1984,7,1,11.2901385967742
1984-08-01,1984,8,1,12.5149385903226
1984-09-01,1984,9,1,16.0473091333333
1984-10-01,1984,10,1,16.4965141612903
1984-11-01,1984,11,1,19.37292
1984-12-01,1984,12,1,22.7503037419355
1985-01-01,1985,1,1,24.3952798387097
1985-02-01,1985,2,1,25.2832967142857
1985-03-01,1985,3,1,22.3829619677419
1985-04-01,1985,4,1,15.9291028333333
1985-05-01,1985,5,1,14.3213401290323
1985-06-01,1985,6,1,14.4703800333333
1985-07-01,1985,7,1,12.3342205096774
1985-08-01,1985,8,1,13.2963010419355
1985-09-01,1985,9,1,16.0582290666667
1985-10-01,1985,10,1,16.8068364193548
1985-11-01,1985,11,1,22.4426433666667
1985-12-01,1985,12,1,23.4038623548387
1986-01-01,1986,1,1,23.9294216129032
1986-02-01,1986,2,1,23.9789694285714
1986-03-01,1986,3,1,20.8558360967742
1986-04-01,1986,4,1,17.3315366666667
1986-05-01,1986,5,1,14.0383682580645
1986-06-01,1986,6,1,11.98595511
1986-07-01,1986,7,1,12.842749383871
1986-08-01,1986,8,1,13.6578441225806
1986-09-01,1986,9,1,15.6537561333333
1986-10-01,1986,10,1,19.2797991290323
1986-11-01,1986,11,1,18.7071558333333
1986-12-01,1986,12,1,22.1264938387097
1987-01-01,1987,1,1,25.0994839677419
1987-02-01,1987,2,1,26.0424115
1987-03-01,1987,3,1,24.3270866774194
1987-04-01,1987,4,1,18.0854404
1987-05-01,1987,5,1,13.7504634193548
1987-06-01,1987,6,1,12.91030359
1987-07-01,1987,7,1,12.5422635419355
1987-08-01,1987,8,1,13.1848115709677
1987-09-01,1987,9,1,15.1221641
1987-10-01,1987,10,1,18.0907881290323
1987-11-01,1987,11,1,20.8267962666667
1987-12-01,1987,12,1,22.4132625483871
1988-01-01,1988,1,1,24.1922473548387
1988-02-01,1988,2,1,27.6053113103448
1988-03-01,1988,3,1,22.1946892903226
1988-04-01,1988,4,1,18.7230136333333
1988-05-01,1988,5,1,14.7987521290323
1988-06-01,1988,6,1,12.21933518
1988-07-01,1988,7,1,11.2056961548387
1988-08-01,1988,8,1,12.0342448258065
1988-09-01,1988,9,1,15.3007129666667
1988-10-01,1988,10,1,16.4729681290323
1988-11-01,1988,11,1,20.1423352666667
1988-12-01,1988,12,1,22.1284190322581
1989-01-01,1989,1,1,25.5988159032258
1989-02-01,1989,2,1,26.1471991071429
1989-03-01,1989,3,1,22.3335526774194
1989-04-01,1989,4,1,18.4072589333333
1989-05-01,1989,5,1,15.3478199032258
1989-06-01,1989,6,1,13.21435802
1989-07-01,1989,7,1,12.3169007322581
1989-08-01,1989,8,1,12.5970651935484
1989-09-01,1989,9,1,15.8529316233333
1989-10-01,1989,10,1,18.6978175483871
1989-11-01,1989,11,1,20.8930765666667
1989-12-01,1989,12,1,21.8107955483871
1990-01-01,1990,1,1,25.0851840967742
1990-02-01,1990,2,1,26.1054326428571
1990-03-01,1990,3,1,22.0585571612903
1990-04-01,1990,4,1,16.8287826666667
1990-05-01,1990,5,1,13.9027662290323
1990-06-01,1990,6,1,12.38919869
1990-07-01,1990,7,1,11.9681601741935
1990-08-01,1990,8,1,14.2306565806452
1990-09-01,1990,9,1,15.5560965333333
1990-10-01,1990,10,1,17.6341033870968
1990-11-01,1990,11,1,19.4695249333333
1990-12-01,1990,12,1,22.4494025806452
1991-01-01,1991,1,1,24.046969516129
1991-02-01,1991,2,1,25.3271759642857
1991-03-01,1991,3,1,22.7092494516129
1991-04-01,1991,4,1,17.8728827666667
1991-05-01,1991,5,1,14.7773680322581
1991-06-01,1991,6,1,12.58017018
1991-07-01,1991,7,1,11.6516831258065
1991-08-01,1991,8,1,12.9340622483871
1991-09-01,1991,9,1,15.3660132333333
1991-10-01,1991,10,1,18.1105612903226
1991-11-01,1991,11,1,20.6327474
1991-12-01,1991,12,1,19.9638481290323
1992-01-01,1992,1,1,26.1591054516129
1992-02-01,1992,2,1,23.8194491034483
1992-03-01,1992,3,1,23.1618965483871
1992-04-01,1992,4,1,16.5630984
1992-05-01,1992,5,1,12.9688469516129
1992-06-01,1992,6,1,11.00042273
1992-07-01,1992,7,1,10.465218416129
1992-08-01,1992,8,1,13.7547595032258
1992-09-01,1992,9,1,15.1106035333333
1992-10-01,1992,10,1,15.9987089677419
1992-11-01,1992,11,1,20.6887708
1992-12-01,1992,12,1,21.1700490645161
1993-01-01,1993,1,1,23.839902516129
1993-02-01,1993,2,1,26.0782901071429
1993-03-01,1993,3,1,23.6231080645161
1993-04-01,1993,4,1,17.3296516666667
1993-05-01,1993,5,1,12.9089078677419
1993-06-01,1993,6,1,12.6071015366667
1993-07-01,1993,7,1,11.2311146
1993-08-01,1993,8,1,13.6580088129032
1993-09-01,1993,9,1,15.7770122
1993-10-01,1993,10,1,18.2150317419355
1993-11-01,1993,11,1,19.0928233666667
1993-12-01,1993,12,1,21.502878516129
1994-01-01,1994,1,1,25.2567968387097
1994-02-01,1994,2,1,24.3681309285714
1994-03-01,1994,3,1,24.1849182258065
1994-04-01,1994,4,1,17.181728
1994-05-01,1994,5,1,14.9550451612903
1994-06-01,1994,6,1,12.95730089
1994-07-01,1994,7,1,12.5183611645161
1994-08-01,1994,8,1,12.5508905806452
1994-09-01,1994,9,1,15.8493868666667
1994-10-01,1994,10,1,17.4394717741935
1994-11-01,1994,11,1,19.7134389
1994-12-01,1994,12,1,22.3643710645161
1995-01-01,1995,1,1,23.362429
1995-02-01,1995,2,1,25.0850982857143
1995-03-01,1995,3,1,21.8968378387097
1995-04-01,1995,4,1,18.4461594
1995-05-01,1995,5,1,15.6259869677419
1995-06-01,1995,6,1,12.1454853066667
1995-07-01,1995,7,1,9.77249054516129
1995-08-01,1995,8,1,11.7216428258065
1995-09-01,1995,9,1,15.7413278
1995-10-01,1995,10,1,17.1883040322581
1995-11-01,1995,11,1,20.0656154666667
1995-12-01,1995,12,1,25.2491691935484
1996-01-01,1996,1,1,23.7079882580645
1996-02-01,1996,2,1,23.5082844482759
1996-03-01,1996,3,1,22.5872356774194
1996-04-01,1996,4,1,17.0018117666667
1996-05-01,1996,5,1,15.0533158806452
1996-06-01,1996,6,1,12.02402125
1996-07-01,1996,7,1,13.3894248709677
1996-08-01,1996,8,1,13.416618616129
1996-09-01,1996,9,1,16.1762178733333
1996-10-01,1996,10,1,17.6366641935484
1996-11-01,1996,11,1,20.3087058333333
1996-12-01,1996,12,1,22.6222911290323
1997-01-01,1997,1,1,24.6138003548387
1997-02-01,1997,2,1,23.7004548571429
1997-03-01,1997,3,1,24.9220021612903
1997-04-01,1997,4,1,19.2360367
1997-05-01,1997,5,1,16.1297978387097
1997-06-01,1997,6,1,12.1965467233333
1997-07-01,1997,7,1,12.64049
1997-08-01,1997,8,1,14.3131344580645
1997-09-01,1997,9,1,15.5824604333333
1997-10-01,1997,10,1,16.1124630645161
1997-11-01,1997,11,1,18.7558797666667
