"date","year","month","day","9116001"
1979-01-01,1979,1,1,6.651321
1979-01-02,1979,1,2,6.2293735
1979-01-03,1979,1,3,7.2788665
1979-01-04,1979,1,4,7.2630271
1979-01-05,1979,1,5,7.3364337
1979-01-06,1979,1,6,8.1985416
1979-01-07,1979,1,7,10.283195
1979-01-08,1979,1,8,8.5660714
1979-01-09,1979,1,9,7.2275878
1979-01-10,1979,1,10,7.3840644
1979-01-11,1979,1,11,9.107624
1979-01-12,1979,1,12,7.7223852
1979-01-13,1979,1,13,6.1814632
1979-01-14,1979,1,14,7.7134574
1979-01-15,1979,1,15,8.0458136
1979-01-16,1979,1,16,8.2337579
1979-01-17,1979,1,17,8.9024715
1979-01-18,1979,1,18,8.7304278
1979-01-19,1979,1,19,8.8390513
1979-01-20,1979,1,20,8.5661404
1979-01-21,1979,1,21,8.9811445
1979-01-22,1979,1,22,8.0027517
1979-01-23,1979,1,23,6.5288673
1979-01-24,1979,1,24,6.3661098
1979-01-25,1979,1,25,6.5615815
1979-01-26,1979,1,26,8.6888373
1979-01-27,1979,1,27,6.2154158
1979-01-28,1979,1,28,6.6289522
1979-01-29,1979,1,29,7.6474171
1979-01-30,1979,1,30,8.8948245
1979-01-31,1979,1,31,8.8929917
1979-02-01,1979,2,1,9.3420689
1979-02-02,1979,2,2,10.069525
1979-02-03,1979,2,3,9.5933416
1979-02-04,1979,2,4,11.501796
1979-02-05,1979,2,5,8.5895374
1979-02-06,1979,2,6,6.4807989
1979-02-07,1979,2,7,5.9939944
1979-02-08,1979,2,8,9.7584705
1979-02-09,1979,2,9,11.475148
1979-02-10,1979,2,10,8.8301972
1979-02-11,1979,2,11,7.9853401
1979-02-12,1979,2,12,6.767007
1979-02-13,1979,2,13,7.8320678
1979-02-14,1979,2,14,10.608602
1979-02-15,1979,2,15,8.6124586
1979-02-16,1979,2,16,6.663452
1979-02-17,1979,2,17,8.8787182
1979-02-18,1979,2,18,6.0310258
1979-02-19,1979,2,19,7.1740198
1979-02-20,1979,2,20,7.3840054
1979-02-21,1979,2,21,7.8887979
1979-02-22,1979,2,22,10.75839
1979-02-23,1979,2,23,8.0751012
1979-02-24,1979,2,24,5.5981126
1979-02-25,1979,2,25,7.7065752
1979-02-26,1979,2,26,5.906007
1979-02-27,1979,2,27,6.7205438
1979-02-28,1979,2,28,4.4711549
1979-03-01,1979,3,1,7.2563354
1979-03-02,1979,3,2,8.18256
1979-03-03,1979,3,3,10.223529
1979-03-04,1979,3,4,7.9692703
