"date","year","month","day","9116001"
1979-01-01,1979,1,1,7.80225702258064
1979-02-01,1979,2,1,8.0962949
1979-03-01,1979,3,1,6.96504505483871
1979-04-01,1979,4,1,5.00274377
1979-05-01,1979,5,1,5.67300195741935
1979-06-01,1979,6,1,1.94632677869333
1979-07-01,1979,7,1,3.26049983
1979-08-01,1979,8,1,5.19863892967742
1979-09-01,1979,9,1,3.42222338746667
1979-10-01,1979,10,1,4.69822586774194
1979-11-01,1979,11,1,7.27711206666667
1979-12-01,1979,12,1,9.08649986774194
1980-01-01,1980,1,1,9.29971346774193
1980-02-01,1980,2,1,9.77088652758621
1980-03-01,1980,3,1,7.48838142258065
1980-04-01,1980,4,1,5.128748567
1980-05-01,1980,5,1,6.04269103548387
1980-06-01,1980,6,1,3.701418205
1980-07-01,1980,7,1,3.04683522083871
1980-08-01,1980,8,1,4.28648465612903
1980-09-01,1980,9,1,3.62297885366667
1980-10-01,1980,10,1,3.86339654225806
1980-11-01,1980,11,1,5.31740159333333
1980-12-01,1980,12,1,8.40835337419355
1981-01-01,1981,1,1,9.27850890967742
1981-02-01,1981,2,1,7.51872382857143
1981-03-01,1981,3,1,7.32476775483871
1981-04-01,1981,4,1,7.08384184333333
1981-05-01,1981,5,1,6.66338322129032
1981-06-01,1981,6,1,4.02663523033333
1981-07-01,1981,7,1,3.55040443470323
1981-08-01,1981,8,1,3.41106969264516
1981-09-01,1981,9,1,3.43420378176667
1981-10-01,1981,10,1,4.84806271516129
1981-11-01,1981,11,1,5.23620187666667
1981-12-01,1981,12,1,7.01700971290323
1982-01-01,1982,1,1,8.94624678709677
1982-02-01,1982,2,1,7.4678373
1982-03-01,1982,3,1,6.17587129677419
1982-04-01,1982,4,1,5.89183197333333
1982-05-01,1982,5,1,6.69114825483871
1982-06-01,1982,6,1,3.37272205666667
1982-07-01,1982,7,1,4.4394985483871
1982-08-01,1982,8,1,4.10878706580645
1982-09-01,1982,9,1,5.84420887333333
1982-10-01,1982,10,1,5.26043707741935
1982-11-01,1982,11,1,5.86311473333333
1982-12-01,1982,12,1,7.90615332903226
1983-01-01,1983,1,1,10.1444464096774
1983-02-01,1983,2,1,7.53728574285714
1983-03-01,1983,3,1,6.28298568709677
1983-04-01,1983,4,1,5.69501098666667
1983-05-01,1983,5,1,4.25369944516129
1983-06-01,1983,6,1,2.13641598166667
1983-07-01,1983,7,1,1.81528349096774
1983-08-01,1983,8,1,3.26756072741935
1983-09-01,1983,9,1,2.99938263333333
1983-10-01,1983,10,1,5.67797230645161
1983-11-01,1983,11,1,6.60880256666667
1983-12-01,1983,12,1,8.99277959032258
1984-01-01,1984,1,1,8.83884953548387
1984-02-01,1984,2,1,7.13316074482759
1984-03-01,1984,3,1,7.14978439354839
1984-04-01,1984,4,1,3.765612598
1984-05-01,1984,5,1,4.69284239103226
1984-06-01,1984,6,1,1.70800230133333
1984-07-01,1984,7,1,2.67267281970968
1984-08-01,1984,8,1,2.54177351025806
1984-09-01,1984,9,1,4.80746969666667
1984-10-01,1984,10,1,5.75007236129032
1984-11-01,1984,11,1,6.65535885
1984-12-01,1984,12,1,8.17005381935484
1985-01-01,1985,1,1,8.58858846774194
1985-02-01,1985,2,1,7.83904461428571
1985-03-01,1985,3,1,6.52360009677419
1985-04-01,1985,4,1,4.77928277533333
1985-05-01,1985,5,1,5.38500094993548
1985-06-01,1985,6,1,6.15709474
1985-07-01,1985,7,1,2.87493698241935
1985-08-01,1985,8,1,3.05523502587097
1985-09-01,1985,9,1,3.532656454
1985-10-01,1985,10,1,4.98745249354839
1985-11-01,1985,11,1,8.00168572666667
1985-12-01,1985,12,1,7.72339622580645
1986-01-01,1986,1,1,7.62830157096774
1986-02-01,1986,2,1,8.32508905
1986-03-01,1986,3,1,5.71464719032258
1986-04-01,1986,4,1,6.43042265333333
1986-05-01,1986,5,1,5.68485459580645
1986-06-01,1986,6,1,3.99669270843333
1986-07-01,1986,7,1,3.61793178548387
